Game,Talent,Activation,Force?,Ranked?,ShortDesc,LongDesc
Edge of the Empire,Combat Veteran,Passive,0,1,The character adds :bl: to his Brawl and Discipline checks equal to his ranks in Combat Veteran.,
Edge of the Empire,Commanding Presence (Improved),Active (Action),0,0,"Once per session, may take Commanding Presence action; make an opposed Cool vs. Discipline check to force target to leave the encounter.",
Edge of the Empire,Comrades In Arms,Active (Action),0,0,"Once per encounter, take Comrades in Arms action and make a Hard (:pu: :pu: :pu:) Discipline check. If successful, the character plus on ally per :suc: within medium range gains +1 defense for the remainder of the encounter.",
Edge of the Empire,Comrades In Arms (Improved),Passive,0,0,Spend :adv: :adv: :adv: or :tri: from Comrades in Arms check to also gain +1 soak or give one affected ally +1 soak.,
Edge of the Empire,Confidence (Improved),Passive,0,0,May spend :tri: on fear checks to give allies in short range additional :suc: on the same fear check.,
Edge of the Empire,Constant Vigilance,Passive,0,0,May always use Vigilance when making checks to determine initiative.,
Edge of the Empire,Construction Specialist,Passive,0,1,"Remove :bk: equal to ranks in Construction Specialist from checks to construct defenses, positions, fortifications, and similar projects.",
Edge of the Empire,Corellian Sendoff,Active (Action),0,0,Take a Corellian Sendoff action targeting two ships or vehicles at Close range; make a Hard (:pu: :pu: :pu:) Cool check to cause the targets to suffer a minor collision.,
Edge of the Empire,Corellian Sendoff (Improved),Passive,0,0,"When performing a Corellian Sendoff, the targets suffer a major collision instead.",
Edge of the Empire,Creative Design,Passive,0,1,"As part of resolving a successful crafting check, the character may also apply a result equivalent to spending a number of :adv: equal to his ranks in Creative Design. The GM may then apply a result equivalent to spending that same number of :thr:.",
Edge of the Empire,Cunning Persona,Active (Incidental),0,0,The character may suffer 2 strain to make a Charm check with Cunning instead of Presence.,
Edge of the Empire,Cunning Snare,Active (Action),0,0,"Once per encounter as an action, may create a trap. Any other character who moves to engaged range of the trap must make an Opposed Vigilance vs. Survival check to avoid harm and ill effects.",
Edge of the Empire,Customized Cooling Unit,Passive,0,1,Increase the system strain threshold of Signature Vehicle by 2 per rank of Customized Cooling Unit.,
Edge of the Empire,Deathblow,Passive,0,0,"After making a successful attack with a nonstarship/ vehicle weapon, the character may spend one Destiny Point to add damage equal to his Willpower to one hit of the successful attack.",
Edge of the Empire,Deceptive Taunt,Active,0,0,"Once per session, may make Deceptive Taunt action. Make opposed Deception check. If successful, one adversary must attack the character during adversary’s next turn.",
Edge of the Empire,Design Flaw,Active (Incidental),0,1,"When making a combat check with a personal scale weapon against a droid, may add equal to ranks in Design Flaw.",
Edge of the Empire,Desperate Repairs,Active (Action),0,0,"Once per session may make a Hard (:pu: :pu: :pu:) Mechanics check on one engaged allied droid. If successful, the droid becomes immobilized and staggered for 1 round, then heals all strain and one Critical Injury with a severity rating no greater than Hard.",
Edge of the Empire,Disarming Smile,Active (Action),0,1,Take the Disarming Smile action; succeed at an opposed Charm check to lower all defenses of a target by ranks in Disarming Smile until the end of encounter.,
Edge of the Empire,Disciple of Lore,Active (Incidental),0,1,"Once per round, may suffer 1 strain to decrease the difficulty of next Knowledge (Lore) check a number of times equal to ranks in Disciple of Lore.",
Edge of the Empire,Disciplined Soul,Active (Incidental),0,0,Spend one Destiny Point to after making a Discipline check to spend a number of :thr: not exceeding ranks in Knowledge (Lore) as :adv:.,
Edge of the Empire,Disorienting Strike,Passive,0,0,"After failing a Lightsaber combat check, may spend or to disorient opponent for three rounds.",
Edge of the Empire,Distracting Behavior,Active (Maneuver),0,1,"Make a Distracting Behavior maneuver and suffer strain no greater than ranks in Cunning. Until beginning of next turn, equal number of NPCs suffer :thr: on checks. Range increases with additional ranks.",
Edge of the Empire,Distracting Behavior (Improved),Passive,0,0,The Distracting Behavior maneuver inflicts :thr: :thr: on NPCs’ checks when NPCs target character’s allies.,
Edge of the Empire,Dockyard Expertise,Active (Action),0,1,"May make an Average (:pu: :pu:) Knowledge (Education) check when at a space dock. If successful, the cost and time for repairs is reduced by 25% per rank of Dockyard Expertise.",
Edge of the Empire,Dodge (Improved),Active (Incidental),0,0,"After using Dodge, can make a Move maneuver as an outof- turn incidental.",
Edge of the Empire,Don't Shoot!,Active (Action),0,0,"Once per session as an action, make a Hard (:pu: :pu: :pu:) charm check. On success, cannot be the target of combat checks until the end of the encounter or until making a combat check.",
Edge of the Empire,Double or Nothing,Active (Incidental),0,0,"Suffer 2 strain to perform the Double or Nothing incidental to increase the difficulty of the next check by one. Then, after canceling opposing symbols, double the amount of remaining :adv:.",
Edge of the Empire,Double or Nothing (Improved),Passive,0,0,"When performing the Double or Nothing incidental, after canceling opposing symbols, also double the amount of remaining :suc:.",
Edge of the Empire,Double or Nothing (Supreme),Passive,0,0,When performing the Double or Nothing incidental also double the number of :tri: and :des:.,
Edge of the Empire,Double Talk,Passive,0,0,The character may spend :adv: :adv: or :tri: from a successful Charm or Deception check to disorient a number of opponents within short range equal to his Presence for remainder of round and next two rounds.,
Edge of the Empire,Embrace Your Hate,Active (Incidental),0,1,May spend 1 Destiny Point and then suffer Conflict equal to dark side Destiny Points in pool to add equal damage to melee attack. May use this ability once per encounter per rank.,
Edge of the Empire,Essential Kill,Passive,1,0,"When making a non-Gunnery combat check, the character may add :wh: no greater than Force rating to the check. The character may spend :ldsp: to add :adv:, or :ldsp: :ldsp: :ldsp: to add :tri: (character’s choice) to the result.",
Edge of the Empire,Exhaustive Questioning,Active (Incidental),0,0,"Whenever the character makes a successful social skill check against a captured enemy within short range, may reduce that enemy’s strain threshold by 2 for the remainder of the session and can spend :adv: to inflict 1 strain.",
Edge of the Empire,Expert Handler,Passive,0,1,Remove :bk: per rank of Expert Tracker to find tracks or track targets. Decrease time to track a target by half.,
Edge of the Empire,Extended Reach,Active (Incidental),0,0,"While armed with a twohanded melee weapon, may suffer one strain to make a Melee combat check with that weapon targeting an enemy at up to short range (rather than engaged range).",
Edge of the Empire,Far Strike,Active (Action),1,0,"As an action, make a Brawl check as a ranged attack, adding :wh: up to Force rating. Increase the range of the attack by one band for each :ldsp: spent, to a maximum of long.",
Edge of the Empire,Fear the Shadows,Active (Action),1,0,Perform the Fear the Shadows action; make a Hard (:pu: :pu: :pu:) Deception check to force a single minion group or rival to flee the encounter.,
Edge of the Empire,Fearsome Rep,Passive,0,1,Add automatic :adv: to the results of Coercion checks equal to ranks in Fearsome Rep.,
Edge of the Empire,Force Connection,Passive,1,0,"When the character performs a Survival or Knowledge (Xenology) skill check, he may roll :wh: no greater than his Force rating. The character may spend :ldsp: to add :suc: or :adv: (character’s choice) to the result.",
Edge of the Empire,Formation Tactics,Active (Action),0,0,"May take the Formation Tactics action by making a Hard (:pu: :pu: :pu:) Leadership check. If successful, he may choose a number of allies within short range equal to :suc: generated. Upgrade the difficulty of attacks against these allies once until the end of his next turn.",
Edge of the Empire,Formation Tactics (Improved),Active (Maneuver),0,0,The difficulty of Formation Tactics is reduced to Average (:pu: :pu:). May spend :tri: or 6x:adv: to have effect last until end of encounter.,
Edge of the Empire,Fortified Vacuum Seal,Passive,0,1,Increase the hull trauma threshold of Signature Vehicle by 1 per rank of Fortified Vacuum Seal.,
Edge of the Empire,Fortune Favors the Bold,"Active (Incidental, Out of Turn)",0,0,"Once per session as an incidental, suffer 2 strain to flip one dark side Destiny Point to light side.",
Edge of the Empire,Freerunning,Active (Incidental),0,0,Suffer 1 strain when making a Move maneuver to move to any location within short range.,
Edge of the Empire,Freerunning (Improved),Active (Incidental),0,0,Suffer 4 strain when making a move maneuver to move to any location within medium range.,
Edge of the Empire,Full Stop,Active (Maneuver),0,0,"When piloting a ship or vehicle, take a full-stop maneuver to reduce speed to zero and suffer system strain equal to the speed reduced.",
Edge of the Empire,Guns Blazing,Active (Incidental),0,0,"As an incidental, suffer 2 Strain to avoid increasing the difficulty of a Ranged (Light) check to attack with two weapons.",
Edge of the Empire,Harass,Active (Incidental),0,0,"Whenever the character’s bonded animal makes a successful combat check against a target, it may forgo inflicting damage to upgrade the difficulty of the target’s next check once instead.",
Edge of the Empire,Headbutt,Active (Incidental),0,0,"Perform Headbutt incidental, suffering 2 wounds to knock down an disorient enemy.",
Edge of the Empire,Heavy Hitter,Active (Incidental),0,0,"Once per session, spend :tri: on a successful Ranged (Heavy) or Gunnery check to add the Breach 1 quality to the attack, or increase an existing Breach rating by 1.",
Edge of the Empire,Heroic Resilience,"Active (Incidental, Out of Turn)",0,0,"Immediately after being hit by an attack but before suffering damage, spend 1 Destiny Point to increase soak by ranks in Resilience.",
Edge of the Empire,Hidden Storage (Improved),Passive,0,0,The character may use Hidden Storage to store an item within his own suitably modified body.,
Edge of the Empire,High-G Training,"Active (Incidental, Out of Turn)",0,1,"When a starship or vehicle being piloted would suffer system strain, may suffer strain up to ranks in High-G Training to prevent an equal amount of system strain.",
Edge of the Empire,Holistic Navigation,Active (Incidental),1,0,"When making an Astrogation skill check, the character may spend one Destiny Point to remove :des:, or to remove :thr: equal to his ranks in Perception.",
Edge of the Empire,Hunter's Quarry,Active (Action),0,0,Take Hunter’s Quarry action; make a Hard (:pu: :pu: :pu:) Survival check to upgrade the ability of all attacks made against a target at long range until the end of the character’s next turn.,
Edge of the Empire,Hunter's Quarry (Improved),Passive,0,0,Suffer 2 strain to perform Hunter’s Quarry action as a maneuver.,
Edge of the Empire,Impossible Fall,"Active (Incidental, Out of Turn)",1,0,"Once per session, perform Impossible Fall incidental when falling, make Force power check and spend :ldsp: :ldsp: to decrease fall by one range band and land somewhere safe, Spend :ldsp: to decrease distance by one additional range band.",
Edge of the Empire,Improvised Defenses,Active (Action),0,0,May make an Average (:pu: :pu:) Survival check to fashion small defenses. It provides cover for up to 4 characters for the rest of the encounter.,
Edge of the Empire,Improvised Detonation,Active (Action),0,0,"Once per session, make a Hard (:pu: :pu: :pu:) Mechanics check to perform the Improvised Detonation action and build an explosive device, dealing damage equal to ranks in Intellect + ranks in Mechanics + :suc:.",
Edge of the Empire,Improvised Detonation (Improved),Passive,0,0,"Once per session, make a Hard (:pu: :pu: :pu:) Mechanics check to perform the Improvised Detonation action and build an explosive device, dealing damage equal to ranks in Intellect + ranks in Mechanics + :suc:.",
Edge of the Empire,Improvised Position,Active (Action),0,0,The character may make a Hard (:pu: :pu: :pu:) Mechanics check to construct a secure position. This provides cover for the group and its vehicles.,
Edge of the Empire,Incite Distraction,Active (Action),0,0,"While in a crowd, may perform the Incite Distraction action to make an Average (:pu: :pu:) Deception check. If successful, enemies treat the area as difficult terrain. May spend :tri: to make the location impassable terrain to them instead.",
Edge of the Empire,Indistinguishable (Improved),Passive,0,0,The character may extend the effects of Indistinguishable to a number of allies within short range equal to ranks in Deception.,
Edge of the Empire,Indomitable Will,Active (Maneuver),1,0,"Once per encounter as a maneuver, suffer 3 strain to commit :wh: up to Force rating and reduce all damage suffered by an equal amount, but suffer 1 strain each turn.",
Edge of the Empire,Inner Peace,Active (Incidental),0,1,"Once per encounter, convert a number of dark side Destiny Points equal to ranks in Inner Peace to light side Destiny Points and reduce Conflict gained this session.",
Edge of the Empire,Inside Knowledge,Active (Action),0,0,"Once per session while in an enemy facility or vessel, may perform the Inside Knowledge action; make a Hard (:pu: :pu: :pu:) Skulduggery check. Character may then find a single personal scale item with a rarity no greater than Cunning plus 2, previously stashed here, or gain a narrative benefit.",
Edge of the Empire,Inside Person,Active (Incidental),0,0,"Once per session the character may spend a Destiny Point to establish he has been undercover in an identified enemy base or large vehicle. For the remainder of the session, add automatic :adv: :adv: to checks he or his allies make that are associated with that location.",
Edge of the Empire,Inspiring Leadership,Active (Action),0,0,"Take the Inspiring Leadership action by making an Average (:pu: :pu:) Leadership check. If successful, a number of allies not exceeding his rating in Presence within short range add automatic :suc: to their next skill check.",
Edge of the Empire,Intuitive Navigation,Passive,1,0,"When performing an Astrogation or Knowledge (Outer Rim) Skill check, the character may roll :wh: no greater than his Force rating. The character may spend :ldsp: to add :suc: or :adv: (character’s choice) to the result.",
Edge of the Empire,Just Kidding,"Active (Incidental, Out of Turn)",0,0,"Once per round as an incidental, spend 1 Destiny Point to ignore :des: generated on a social check by the character or any ally in short range.",
Edge of the Empire,Juyo Savagery,Passive,1,0,The character adds +5 to Critical Injury rolls from Lightsaber attacks for each dark side Destiny Point in the Destiny pool.,
Edge of the Empire,Know the Enemy,Passive,0,0,The character may use Knowledge (Warfare) skill when making checks to determine Initiative.,
Edge of the Empire,Know the Ropes,Passive,0,0,Add :bl: to checks made to escape from restraints equal to ranks in Knowledge (Underworld). Spend :tri: to free all other allies within short range.,
Edge of the Empire,Know Their Weakness,Active (Action),0,1,"Once per session, may perform the Know Their Weakness action and choose one target within short range; make a Hard (:des:) Perception check to downgrade the difficulty of social skill checks against target once per rank of Know Their Weakness until end of the session.",
Edge of the Empire,Know Their Weakness (Improved),Passive,0,0,The character may extend the effects of Know Their Weakness to a number of enemies within short range equal to his Presence.,
Edge of the Empire,Koiogran Turn,Active (Maneuver),0,0,"When an opponent has gained the advantage on a starship or vehicle being piloted, may perform a Koiogran Turn maneuver to remove the effects.",
Edge of the Empire,Loom,Passive,0,0,"When an ally engaged with the character makes a successful Charm, Deception, or Negotiation check, the character adds :adv: per rank in Coercion to the ally’s check.",
Edge of the Empire,Lose Them,Active (Action),0,0,"When being followed or chased, the character may perform the Lose Them action and make a Hard (:pu: :pu: :pu:) Stealth check. If successful, add bb to checks to follow him for the remainder of the encounter and may spend :tri: to indicate his pursuers have lost him completely.",
Edge of the Empire,Made You Talk,Active (Action),0,0,"Once per session, may make an opposed social skill check against a captured enemy character within short range and add :bl: for every 2 strain inflicted on the target that encounter. If successful, the PCs gain a bonus based on the enemy NPC type.",
Edge of the Empire,Marked For Death,Active (Maneuver),1,0,"Take the Marked for Death maneuver, committing :wh:. Add :adv: :adv: to combat checks against target while :wh: remains committed, but cannot use this talent again until the original target is incapacitated or the session ends.",
Edge of the Empire,Master Demolitionist,Active (Incidental),0,0,"When resolving an attack from a personal explosive or ordinance weapon, may spend :adv: or :tri: to have the weapon’s Blast quality act at short range, or medium if it already acts at short.",
Edge of the Empire,Master Strategist,"Active (Incidental, Out of Turn)",0,0,"Once per phase during a mass combat, may suffer 2 strain to decrease difficulty of Mass Combat check once.",
Edge of the Empire,Menace,Active (Maneuver),0,0,Character guides bonded animal to perform Menace Maneuver: Enemy within short range of the bonded animal adds :bk: to next Combat checks made against the character.,
Edge of the Empire,Most Impressive,Active (Incidental),0,0,Spend :tri: from any skill check to allow a number of allies not exceeding the character’s rating in Presence within short range to add automatic :adv: to their next check.,
Edge of the Empire,Moving Target,Passive,0,1,"If the character has already acted this round, increase ranged defense by 1 per rank of Moving Target.",
Edge of the Empire,Museum Worthy,Active (Action),0,0,"Once per session, take Museum Worthy action; make a Hard (:pu: :pu: :pu:) Knowledge (Education) check to ascertain information regarding a relic, ruin, or piece of history.",
Edge of the Empire,Natural Athlete,Active (Incidental),0,0,"Once per session, may reroll any 1 Athletics or Coordination check.",
Edge of the Empire,Natural Instructor,Active (Incidental),0,0,"Once per session, may re-roll one Discipline or Leadership check.",
Edge of the Empire,Natural Merchant,Active (Incidental),0,0,"Once per session, may reroll any 1 Streetwise or Negotiation check.",
Edge of the Empire,Not Today,"Active (Incidental, Out of Turn)",0,0,"Once per session, spend a Destiny Point to save Signature Vehicle from destruction.",
Edge of the Empire,One With Nature,"Active (Incidental, Out of Turn)",0,0,"When in the wilderness, the character may make a Simple (-) Survival check (instead of Discipline or Cool) to recover strain at the end of an encounter.",
Edge of the Empire,Overstocked Ammo,Passive,0,1,Increase the value of the Limited Ammo quality of any weapons mounted on Signature Vehicle by 1 per rank of Overstocked Ammo.,
Edge of the Empire,Persistent Targeting,Passive,0,0,"After making one or more successful combat checks against a target, add :bl: to combat checks against that same target for the remainder of the encounter.",
Edge of the Empire,Pilot Training,Passive,0,0,Piloting (Planetary) and Piloting (Space) become career skills.,
Edge of the Empire,Pin,Active (Action),0,0,Take Pin action; make an Opposed Athletics check to immobilize an engaged opponent until the end of the character’s next turn. Spend :tri: to extend duration one round.,
Edge of the Empire,Power From Pain,Active (Incidental),1,0,"Once per session as an incidental, may spend 1 Destiny Point to gain +1 Force Rating for reach Critical Injury character is suffering until the end of the encounter.",
Edge of the Empire,Prepare To Be Boarded!,Active (Action),0,0,"Once / encounter may take Prepare to be Boarded! action; make opposed Coercion vs. Discipline check against enemy ship captain. If successful, the enemy suffers 1 strain per uncanceled :suc: and surrenders ship if he exceeds strain threshold. may also spend :tri: or :adv: :adv: :adv: :adv: to inflict strain equal to ranks in Coercion.",
Edge of the Empire,Pride and Joy,Passive,0,0,Choose one starship or vehicle character owns with a silhouette of 4 or higher; it becomes his “Pride and Joy” vessel. He upgrades the ability of all social skill checks he makes while within short range of the vessel once.,
Edge of the Empire,Pride and Joy (Improved),Passive,0,0,"While inside his Pride and Joy vessel, recover 1 additional strain whenever recovering strain and spend :adv: on checks made to recover strain to allow an ally also within the vessel to recover one strain.",
Edge of the Empire,Pride and Joy (Supreme),Active (Incidental),0,0,"While inside his Pride and Joy vessel, once per session as an incidental, the character may reduce its silhouette by 2 (to a minimum of 0) for the remainder of the round and following round.",
Edge of the Empire,Push Aside,Active (Incidental),0,0,"After making a successful Melee, Brawl, or Lightsaber combat check against an engaged foe, may force the foe to move to short range in a direction of the opponent’s choosing. Spend :tri: to cause the opponent to fall prone after moving.",
Edge of the Empire,Push the Specs,Active (Action),0,0,"Perform the Push the Specs action when in a starship or vehicle, making an Average (:pu: :pu:) Knowledge (Education) check. With success, the ship’s top speed increases by 1 for a number of rounds equal to the character’s Intellect.",
Edge of the Empire,Quick Draw (Improved),Passive,0,0,May use Quick Draw twice per round.,
Edge of the Empire,Rain of Death,Active (Maneuver),0,0,Perform the Rain of Death maneuver to ignore the increased difficulty due to the Auto-fire quality of attacks made this turn.,
Edge of the Empire,Ready For Anything,Passive,0,1,Remove :bk: per rank of Ready for Anything on Mass Combat checks and Cool of Vigilance checks to determine Initiative order.,
Edge of the Empire,Ready for Anything (Improved),Passive,0,0,"When making Cool or Vigilance checks to determine Initiative order, may spend :tri: to add :suc: equal to ranks in Ready for Anything.",
Edge of the Empire,Reinforced Frame,Passive,0,0,"Signature Vehicle gains Massive 1: when making an attack targeting the ship or vehicle, the Critical rating of any weapon used counts as 1 higher.",
Edge of the Empire,Repair Patch Specialization,Passive,0,1,"Whenever using an emergency repair patch, the target heals an additional wound per rank of Repair Patch Specialization.",
Edge of the Empire,Resist Questioning,"Active (Incidental, Out of Turn)",0,0,"When targeted by an opposed social skill check, the character may suffer 2 strain to perform the Resist Questioning (out of turn) incidental, adding b to the check. If the check fails, may spend :des: to indicate he has provided false information to foe.",
Edge of the Empire,Resist Questioning (Improved),Passive,0,0,"When one ally within short range is targeted by an opposed social skill check, the character may perform Resist Questioning to affect this check instead. If the check fails, may spend :des: to indicate the ally provided false information to foe.",
Edge of the Empire,Saber Throw (Improved),Passive,1,0,"When performing the Saber Throw action, may increase the range to long range. When attacking a target at long range, spend :ldsp: :ldsp: to have weapon return to hand.",
Edge of the Empire,Sapith Sundering,Active (Incidental),1,0,"May add :wh: up to Force Rating to Brawl checks; the attack gains the Sunder quality, and character may spend :ldsp: generated on the check as :adv: to activate the Sunder quality.",
Edge of the Empire,Second Chances,Active (Incidental),0,1,"Once per encounter, choose a number of positive dice equal to ranks in Second Chances and reroll them.",
Edge of the Empire,Secrets of the Jedi,Passive,0,0,"Lightsaber becomes a Career skill. He may also decrease the difficulty of checks made to construct or repair lightsaber hilts a number of times equal to half his ranks in Knowledge (Lore) (rounded up), to a minimum of Easy (:pu:).",
Edge of the Empire,Secrets of the Jedi (Improved),Passive,0,0,Discipline becomes a career skill. Secrets of the Jedi may also be used when installing mods on lightsabers.,
Edge of the Empire,Seen A Lot of Things,Passive,0,0,"Whenever the character fails a Knowledge check, he may spend :adv: :adv: :adv: to roll the check again during his next turn.",
Edge of the Empire,Seize the Initiative,Active (Maneuver),0,0,"Once per session as a maneuver, may make a Hard (:pu: :pu: :pu:) Athletics check. On success, other PCs may take their turns immediately.",
Edge of the Empire,Sense the Scene,Active (Action),1,0,"Perform the Sense The Scene action; Make a Hard (:pu: :pu: :pu:) Perception check and add :wh: no greater than Force rating, if successful, spend :ldsp: to identify the emotional characteristics of one person involved in the crime.",
Edge of the Empire,Shortcut (Improved),Active (Incidental),0,0,"When engaging in a chase or race, may suffer 2 strain to add :suc: equal to ranks in Shortcut to the check.",
Edge of the Empire,Showboat,Active (Incidental),0,0,"When making a check in a starship or vehicle, may suffer 2 strain to gain :tri: on success or :des: on failure.",
Edge of the Empire,Smart Handling,Active (Action),0,0,"Once per session, take the Smart Handling action, making a Hard (:pu: :pu: :pu:) Knowledge (Education) check. Until start of the next round the ships handling increase by 2 plus an amount equal to :adv: scored on the check to a maximum of handling +4.",
Edge of the Empire,Soothing Tone,Active (Action),0,0,Take a Soothing Tone action; make an Average (:pu: :pu:) Knowledge (Xenology) check to allow a beast to recover strain equal to .,
Edge of the Empire,Sorry About the Mess,Passive,0,0,Decrease the Critical Rating of a weapon by 1 (to a minimum of 1) against targets that have not yet acted this encounter.,
Edge of the Empire,Spitfire,Passive,0,0,"After a successful combined check with two Ranged (Light) weapons, additional hits can be allocated to other targets within range of the weapon.",
Edge of the Empire,Spur,Active (Incidental),0,0,Take a Spur action; make a Hard (:pu: :pu: :pu:) Survival check to increae a beast’s top speed by 1. The beast suffers 2 strain every round it stays spurred.,
Edge of the Empire,Spur (Improved),Active (Maneuver),0,0,Suffer 1 strain to attempt Spur as a maneuver and decrease its difficulty to Average (:pu: :pu:).,
Edge of the Empire,Spur (Supreme),Passive,0,0,"When activating and maintaining Spur, the beast only suffers 1 strain instead of 2.",
Edge of the Empire,Steady Aim,Passive,0,0,The character does not lose the benefits of the Aim maneuver if he performs other maneuvers (including moving) or actions. He does lose the benefits of the Aim maneuver if the encounter ends.,
Edge of the Empire,Steady Nerves,Passive,0,1,Remove :bk: per rank of Steady Nerves from Cool or Skulduggery checks.,
Edge of the Empire,Street Smarts (Improved),Active (Action),0,0,"Once per session, may take an Improved Street Smarts action; make a Formidable (:pu: :pu: :pu: :pu: :pu:) Streetwise or Knowledge (Underworld) check to learn one vital clue from the GM. Reduce the difficulty once per rank of street smarts.",
Edge of the Empire,Studious Plotting,Passive,0,0,"When making a Streetwise or Survival skill check to navigate on a world, the character may use Intellect instead of Cunning.",
Edge of the Empire,Superhuman Reflexes,Active (Incidental),1,0,"Once per Session, after generating :des: on a Piloting check, cancel the :des: and add :suc: equal to ranks in Cool.",
Edge of the Empire,Survival of the Fittest,Active (Incidental),1,0,"Once per session, when making a single check, the character may treat his Force rating as being equal to ranks in Survival.",
Edge of the Empire,Talk the Talk,Active (Incidental),0,0,"When making a Knowledge skill check, the character may spend 1 Destiny Point to substitute Knowledge (Underworld) or Streetwise for the required skill.",
Edge of the Empire,Targeted Firepower,Active (Action),0,0,"Once per session may take Targeted Firepower action; identify one enemy target and make a Hard (:pu: :pu: :pu:) Knowledge (Warfare) check. If successful, for the rest of encounter allies within short range of character add :adv: to attacks against target equal to :suc: gained in the check.",
Edge of the Empire,Temple Training,Active (Incidental),1,0,"Before making a Lightsaber skill check, the character may spend one Destiny Point to add damage to the attack equal to his ranks in Knowledge (Lore).",
Edge of the Empire,Terrifying Kill,Active (Maneuver),1,0,The character may spend 1 Destiny Point to take the Terrifying Kill maneuver after incapacitating or inflicting a Critical Injury. Roll :wh: no greater than Force rating and spend :ldsp: to inflict 1 strain on each character within short range of target.,
Edge of the Empire,That's How It's Done,Active (Incidental),0,1,May suffer 1 strain on successful skill check to add :adv: to the same skill check made by a number of allies equal to Willpower within short range during the next round.,
Edge of the Empire,Thorough Assessment,Active (Action),0,0,"Once per session, take a Thorough Assessment action: make a Hard (:pu: :pu: :pu:) Knowledge check to gain Boost dice equal to :suc: that can be distributed during the encounter.",
Edge of the Empire,Throwing Credits,Active,0,0,"At beginning of session, spend 100 credits to ignore strain threshold penalty due to triggered Obligation.",
Edge of the Empire,Toughened (Improved),Active (Incidental),0,0,"Once per session, may heal wounds equal to ranks in Toughened.",
Edge of the Empire,Trust No One,"Active (Incidental, Out of Turn)",0,0,"When targeted by a social check, may choose to suffer one strain to add automatic :fai: to the check. If the check fails with :des:, the character may immediately perform a maneuver as an out of turn incidental.",
Edge of the Empire,Trust the Captain,Active (Action),0,1,"May take the Trust the Captain action by making a Hard (:pu: :pu: :pu:) Leadership check. If successful, for the rest of the encounter allies within short range increase their ranks in Discipline by an amount equal to ranks in Trust the Captain.",
Edge of the Empire,Tuned Maneuvering Thrusters,Passive,0,1,Increase the handling of Signature Vehicle by 1 per rank of Tuned Maneuvering Thrusters.,
Edge of the Empire,Unrelenting Skeptic,Passive,0,0,"When targeted by a Deception check, the character automatically adds :fai: to the check equal to ranks in Vigilance.",
